ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked turtles
791,1499,139,60,252,1048,105
792,1500,130,68,252,1050,105
793,1494,131,64,244,1055,106
794,1496,133,58,248,1057,106
795,1498,140,55,247,1056,108
796,1499,151,46,245,1057,107
797,1499,150,52,241,1056,107
798,1500,148,54,233,1065,107
799,1499,145,65,231,1058,107
800,1499,149,74,228,1048,107
801,1497,146,76,227,1048,107
802,1496,139,81,230,1046,107
803,1496,136,71,238,1051,108
804,1500,145,65,242,1048,111
805,1500,157,58,240,1045,112
806,1498,151,59,245,1043,111
807,1497,143,73,239,1042,111
808,1498,145,75,240,1038,111
809,1494,141,85,235,1033,110
810,1500,144,80,239,1037,110
811,1500,137,77,253,1033,110
812,1497,125,70,265,1037,111
813,1497,121,74,269,1033,112
814,1498,125,67,274,1032,112
815,1496,114,73,277,1032,112
816,1499,120,63,282,1034,112
817,1500,130,66,273,1031,112
818,1494,127,62,269,1036,110
819,1495,131,59,273,1032,110
820,1498,128,68,264,1038,108
821,1500,128,64,275,1033,108
822,1500,134,62,269,1035,107
823,1500,128,61,278,1033,107
824,1500,132,55,274,1039,106
825,1496,127,62,267,1040,105
826,1493,131,68,250,1044,104
827,1499,140,67,250,1042,104
828,1494,140,73,248,1033,106
829,1500,144,67,254,1035,105
830,1500,146,71,244,1039,104
831,1499,149,71,247,1032,104
832,1498,147,74,249,1028,102
833,1500,147,79,245,1029,102
834,1500,137,84,253,1026,102
835,1499,137,81,254,1027,101
836,1500,142,70,264,1024,100
837,1494,124,81,260,1029,99
838,1491,121,75,265,1030,99
839,1500,130,78,266,1026,100
840,1496,125,79,272,1020,100
841,1500,121,74,282,1023,100
842,1499,111,77,283,1028,100
843,1500,113,72,282,1033,99
844,1498,112,64,291,1031,99
845,1498,108,64,294,1032,97
846,1495,117,57,288,1033,98
847,1500,117,58,289,1036,98
848,1500,112,65,284,1039,97
849,1499,105,72,279,1043,97
850,1499,98,81,267,1053,97
851,1499,108,76,268,1047,97
852,1496,115,64,269,1048,98
853,1497,114,55,276,1052,99
854,1499,115,56,275,1053,99
855,1498,116,62,260,1060,101
856,1500,125,61,256,1058,102
857,1498,126,59,251,1062,102
858,1493,128,56,247,1062,102
859,1499,129,57,242,1071,102
860,1496,126,60,242,1068,100
861,1493,122,64,236,1071,99
862,1499,125,64,237,1073,101
863,1500,126,57,240,1077,100
864,1499,124,52,248,1075,100
865,1500,132,49,243,1076,100
866,1499,135,51,233,1080,101
867,1497,138,54,220,1085,102
868,1500,146,55,219,1080,102
869,1500,140,66,219,1075,102
870,1500,138,64,222,1076,102
871,1497,146,58,220,1073,103
872,1494,134,63,219,1078,103
873,1497,122,70,225,1080,105
874,1500,126,76,218,1080,105
