ticks,turtles,healthy turtles,exposed turtles,infected turtles,immune turtles,masked 1 turtles,masked 2 turtles
637,1499,102,58,274,1065,306,65
638,1499,98,66,264,1071,305,66
639,1500,98,66,264,1072,306,65
640,1494,100,55,263,1076,304,64
641,1492,113,51,253,1075,305,65
642,1486,117,43,249,1077,301,64
643,1489,127,42,248,1072,303,64
644,1492,129,58,239,1066,306,66
645,1497,122,74,237,1064,305,67
646,1500,122,84,223,1071,308,67
647,1500,122,76,229,1073,310,67
648,1500,124,66,231,1079,309,68
649,1500,125,57,235,1083,311,68
650,1497,131,49,238,1079,311,69
651,1498,128,57,231,1082,312,69
652,1500,112,68,235,1085,311,69
653,1500,106,82,231,1081,309,69
654,1494,96,88,226,1084,305,70
655,1500,102,80,236,1082,308,70
656,1500,108,66,240,1086,305,70
657,1499,102,59,248,1090,302,71
658,1500,100,54,262,1084,302,71
659,1499,96,61,260,1082,300,71
660,1500,95,63,266,1076,300,71
661,1495,86,65,261,1083,299,71
662,1490,97,57,255,1081,295,71
663,1499,106,52,253,1088,298,72
664,1498,103,55,245,1095,298,71
665,1500,104,51,249,1096,297,71
666,1498,97,55,248,1098,297,71
667,1500,94,52,250,1104,298,71
668,1496,99,49,246,1102,301,72
669,1498,100,54,241,1103,302,73
670,1493,101,53,230,1109,302,72
671,1500,113,51,217,1119,302,73
672,1500,116,53,206,1125,300,72
673,1500,117,46,220,1117,301,71
674,1495,106,59,214,1116,299,70
675,1499,112,60,208,1119,301,71
676,1500,109,59,208,1124,300,72
677,1494,104,52,208,1130,300,71
678,1499,106,52,210,1131,300,71
679,1497,106,57,203,1131,298,71
680,1500,108,55,207,1130,298,71
681,1500,108,54,210,1128,298,71
682,1499,112,59,205,1123,298,71
683,1499,106,57,210,1126,296,71
684,1500,97,62,210,1131,296,71
685,1499,100,62,212,1125,297,71
686,1497,94,61,218,1124,296,71
687,1494,101,52,211,1130,296,71
688,1498,102,54,220,1122,296,72
689,1499,102,58,221,1118,297,72
690,1498,103,56,220,1119,300,72
691,1499,107,56,214,1122,303,71
692,1499,109,52,214,1124,304,72
693,1500,108,55,219,1118,304,72
694,1499,115,51,215,1118,304,72
695,1500,114,56,212,1118,305,72
696,1500,104,63,215,1118,306,72
697,1498,109,58,213,1118,306,73
698,1498,110,58,211,1119,306,73
699,1499,109,56,213,1121,309,73
